الترتيب,الرمز,الاسم,القطاع,السعر,التغير_20يوم_%,RSI14,الدرجة,التصنيف,تجميع_ذكي,سيولة_ذكية,تشبع_بيع_وارتداد,اختراق_فني,بنية_الاتجاه,عقوبة_تصريف,أسباب_الاختيار
1,7200,ام آي اس,التطبيقات وخدمات التقنية,321.4,41.0,76.8,72.5,🚀 اختراق صاعد,19.7,12.8,5.0,25.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.38) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.1x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 2.3x المتوسط | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
2,4070,تهامة,الإعلام والترفيه,21.36,23.8,90.3,71.2,🚀 اختراق صاعد,21.2,20.0,5.0,15.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 4018256.0x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.0x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 1.4x المتوسط | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
3,4082,مرنة,الخدمات المالية,8.57,14.4,65.1,66.4,🚀 اختراق صاعد,21.4,20.0,0.0,20.0,5.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.4x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.9x | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 6.0x المتوسط | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
4,6014,الآمار,الخدمات الاستهلاكية,42.2,11.4,65.1,60.8,✅ زخم صاعد عام,28.8,12.0,5.0,10.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.18) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.9x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
5,2380,بترو رابغ,الطاقة,18.04,13.3,67.3,59.1,👀 متابعة,27.1,12.0,5.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.14) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.0x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
6,2360,الفخارية,المواد الأساسية,21.55,25.0,76.3,57.7,🚀 اختراق صاعد,7.7,20.0,0.0,20.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 8.2x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.5x | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 7.1x المتوسط | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
7,2150,زجاج,المواد الأساسية,39.1,8.2,75.7,57.0,🚀 اختراق صاعد,12.0,20.0,5.0,15.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.11) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.0x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.6x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
8,6015,أمريكانا للمطاعم,الخدمات الاستهلاكية,2.37,12.9,59.5,57.0,👀 متابعة,30.0,12.0,5.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.23) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.8x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
9,4325,مسار,إدارة وتطوير العقارات,18.27,7.0,60.2,56.1,👀 متابعة,17.2,13.9,5.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.16) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.6x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
10,4005,رعاية,الرعاية الصحية,125.8,8.6,59.1,54.1,👀 متابعة,29.6,4.5,0.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.19) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
