الترتيب,الرمز,الاسم,القطاع,السعر,التغير_20يوم_%,RSI14,الدرجة,التصنيف,تجميع_ذكي,سيولة_ذكية,تشبع_بيع_وارتداد,اختراق_فني,بنية_الاتجاه,عقوبة_تصريف,أسباب_الاختيار
1,4336,ملكية ريت,الصناديق العقارية المتداولة,4.48,0.0,45.0,48.6,📦 تجميع هادئ,20.3,13.2,0.0,15.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد)
2,2282,نقي,إنتاج الأغذية,58.85,4.3,59.5,47.2,📦 تجميع هادئ,20.2,12.0,0.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.21) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.1x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
3,4200,الدريس,الطاقة,122.0,1.7,57.1,46.8,👀 متابعة,16.8,15.0,0.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.12) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.5x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
4,2070,الدوائية,الأدوية,32.26,3.7,57.5,46.6,👀 متابعة,9.1,17.5,0.0,10.0,10.0,0.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 2.1x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.5x | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
5,2380,بترو رابغ,الطاقة,17.91,-1.3,52.9,43.7,📦 تجميع هادئ,22.4,11.3,0.0,0.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
6,2223,لوبريف,المواد الأساسية,133.8,-2.8,49.6,43.1,📦 تجميع هادئ,19.2,13.9,0.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.20) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.9x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
7,4150,التعمير,إدارة وتطوير العقارات,16.68,4.8,59.0,41.9,📦 تجميع هادئ,18.1,13.8,0.0,5.0,5.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.4x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
8,4003,إكسترا,تجزئة السلع الكمالية,65.35,-0.4,43.2,40.7,📦 تجميع هادئ,27.1,8.2,5.3,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.14) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.4x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
9,2180,فيبكو,المواد الأساسية,34.28,0.9,45.6,38.8,👀 متابعة,16.8,12.0,0.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.25) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.6x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
10,1835,تمكين,الخدمات التجارية والمهنية,44.64,-5.1,29.9,38.5,📦 تجميع هادئ,30.0,1.0,7.4,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.28) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | ⏳ تشبع بيع واضح: RSI عند 30 (بانتظار تأكيد الارتداد) | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
11,2370,مسك,السلع الرأسمالية,33.3,7.4,48.6,37.8,👀 متابعة,16.1,11.7,0.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.14) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.8x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
12,4030,البحري,الطاقة,35.42,-3.2,55.6,36.2,👀 متابعة,14.0,12.2,0.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.12) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.9x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
13,6012,ريدان,الخدمات الاستهلاكية,15.5,-11.2,45.6,36.0,👀 متابعة,8.4,17.6,0.0,0.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.5x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.5x | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
14,4324,بنان,إدارة وتطوير العقارات,3.14,2.6,52.0,35.9,📦 تجميع هادئ,23.2,2.8,5.0,0.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.22) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
15,2270,سدافكو,إنتاج الأغذية,190.1,-6.3,25.9,34.9,👀 متابعة,12.9,13.9,8.1,0.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.2x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.8x | ⏳ تشبع بيع واضح: RSI عند 26 (بانتظار تأكيد الارتداد) | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
16,1320,أنابيب السعودية,المواد الأساسية,56.85,19.9,65.3,32.1,👀 متابعة,14.6,12.5,0.0,0.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.12) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.2x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
17,4017,فقيه الطبية,الرعاية الصحية,36.38,1.8,42.7,28.6,👀 متابعة,15.2,8.1,0.4,0.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.12) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.4x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
18,1834,سماسكو,الخدمات التجارية والمهنية,5.57,-6.7,36.6,28.2,👀 متابعة,13.2,6.6,8.4,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.15) يدل على تجميع | 🔄 ارتداد من تشبع بيع: RSI عند 37 ويتجه للصعود | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
19,2190,سيسكو القابضة,النقل,37.82,1.9,52.6,27.7,👀 متابعة,15.6,2.1,0.0,0.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.19) يدل على تجميع | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
20,2286,المطاحن الرابعة,إنتاج الأغذية,3.88,-2.8,34.3,27.1,👀 متابعة,15.0,5.4,6.7,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.33) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
21,4142,كابلات الرياض,السلع الرأسمالية,107.1,-1.5,49.0,27.0,👀 متابعة,2.0,15.1,0.0,5.0,5.0,0.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.3x | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
22,4349,الإنماء ريت الفندقي,الصناديق العقارية المتداولة,7.37,-5.4,32.6,26.0,🔄 ارتداد من تشبع بيع,0.0,6.0,10.0,10.0,0.0,0.0,🔄 ارتداد من تشبع بيع: RSI عند 33 ويتجه للصعود | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد)
